STN,YEAR,MON,DAY,HR,O3(PPB)
ARH,2015,1,23,21,18.86
ARH,2015,1,23,22,18.73
ARH,2015,1,23,23,18.49
ARH,2015,1,24,0,18.24
ARH,2015,1,24,1,18.42
ARH,2015,1,24,2,18.76
ARH,2015,1,24,3,18.72
ARH,2015,1,24,4,18.45
ARH,2015,1,24,5,18
ARH,2015,1,24,6,18.06
ARH,2015,1,24,7,18.17
ARH,2015,1,24,8,18.04
ARH,2015,1,24,9,17.93
ARH,2015,1,24,10,17.97
ARH,2015,1,24,11,17.96
ARH,2015,1,24,12,18
ARH,2015,1,24,13,17.7
ARH,2015,1,24,14,17.28
ARH,2015,1,24,15,15.96
ARH,2015,1,24,16,9999.99
ARH,2015,1,24,17,16.92
ARH,2015,1,24,18,17.04
ARH,2015,1,24,19,17.22
ARH,2015,1,24,20,16.98
ARH,2015,1,24,21,17.27
ARH,2015,1,24,22,18.01
ARH,2015,1,24,23,18.68
ARH,2015,1,25,0,18.55
ARH,2015,1,25,1,18.45
ARH,2015,1,25,2,18.41
ARH,2015,1,25,3,18.6
ARH,2015,1,25,4,18.8
ARH,2015,1,25,5,18.62
ARH,2015,1,25,6,18.44
ARH,2015,1,25,7,18.11
ARH,2015,1,25,8,18.2
ARH,2015,1,25,9,18.82
ARH,2015,1,25,10,19.33
ARH,2015,1,25,11,19.25
ARH,2015,1,25,12,19.35
ARH,2015,1,25,13,19.48
ARH,2015,1,25,14,19.25
ARH,2015,1,25,15,19.01
ARH,2015,1,25,16,19.67
ARH,2015,1,25,17,21.16
ARH,2015,1,25,18,21.21
ARH,2015,1,25,19,20.9
ARH,2015,1,25,20,20.55
ARH,2015,1,25,21,20.34
ARH,2015,1,25,22,20.97
ARH,2015,1,25,23,21.57
ARH,2015,1,26,0,22.17
ARH,2015,1,26,1,9999.99
ARH,2015,1,26,2,9999.99
ARH,2015,1,26,3,9999.99
ARH,2015,1,26,4,9999.99
ARH,2015,1,26,5,9999.99
ARH,2015,1,26,6,9999.99
ARH,2015,1,26,7,9999.99
ARH,2015,1,26,8,9999.99
ARH,2015,1,26,9,9999.99
ARH,2015,1,26,10,9999.99
ARH,2015,1,26,11,9999.99
ARH,2015,1,26,12,9999.99
ARH,2015,1,26,13,9999.99
ARH,2015,1,26,14,9999.99
ARH,2015,1,26,15,9999.99
ARH,2015,1,26,16,9999.99
ARH,2015,1,26,17,9999.99
ARH,2015,1,26,18,9999.99
ARH,2015,1,26,19,9999.99
ARH,2015,1,26,20,9999.99
ARH,2015,1,26,21,9999.99
ARH,2015,1,26,22,9999.99
ARH,2015,1,26,23,9999.99
ARH,2015,1,27,0,9999.99
ARH,2015,1,27,1,9999.99
ARH,2015,1,27,2,9999.99
ARH,2015,1,27,3,9999.99
ARH,2015,1,27,4,9999.99
ARH,2015,1,27,5,9999.99
ARH,2015,1,27,6,9999.99
ARH,2015,1,27,7,9999.99
ARH,2015,1,27,8,9999.99
ARH,2015,1,27,9,9999.99
ARH,2015,1,27,10,9999.99
ARH,2015,1,27,11,9999.99
ARH,2015,1,27,12,9999.99
ARH,2015,1,27,13,9999.99
ARH,2015,1,27,14,9999.99
ARH,2015,1,27,15,9999.99
ARH,2015,1,27,16,9999.99
ARH,2015,1,27,17,9999.99
ARH,2015,1,27,18,9999.99
ARH,2015,1,27,19,9999.99
ARH,2015,1,27,20,9999.99
ARH,2015,1,27,21,9999.99
ARH,2015,1,27,22,9999.99
ARH,2015,1,27,23,9999.99
ARH,2015,1,28,0,9999.99
ARH,2015,1,28,1,9999.99
ARH,2015,1,28,2,9999.99
ARH,2015,1,28,3,9999.99
ARH,2015,1,28,4,9999.99
ARH,2015,1,28,5,9999.99
ARH,2015,1,28,6,9999.99
ARH,2015,1,28,7,9999.99
ARH,2015,1,28,8,9999.99
ARH,2015,1,28,9,9999.99
ARH,2015,1,28,10,9999.99
ARH,2015,1,28,11,9999.99
ARH,2015,1,28,12,9999.99
ARH,2015,1,28,13,9999.99
ARH,2015,1,28,14,9999.99
ARH,2015,1,28,15,9999.99
ARH,2015,1,28,16,9999.99
ARH,2015,1,28,17,9999.99
ARH,2015,1,28,18,9999.99
ARH,2015,1,28,19,9999.99
ARH,2015,1,28,20,9999.99
ARH,2015,1,28,21,9999.99
ARH,2015,1,28,22,9999.99
ARH,2015,1,28,23,9999.99
ARH,2015,1,29,0,9999.99
ARH,2015,1,29,1,9999.99
ARH,2015,1,29,2,9999.99
ARH,2015,1,29,3,9999.99
ARH,2015,1,29,4,9999.99
ARH,2015,1,29,5,9999.99
ARH,2015,1,29,6,9999.99
ARH,2015,1,29,7,9999.99
ARH,2015,1,29,8,9999.99
ARH,2015,1,29,9,9999.99
ARH,2015,1,29,10,9999.99
ARH,2015,1,29,11,9999.99
ARH,2015,1,29,12,9999.99
ARH,2015,1,29,13,9999.99
ARH,2015,1,29,14,9999.99
ARH,2015,1,29,15,9999.99
ARH,2015,1,29,16,9999.99
ARH,2015,1,29,17,9999.99
ARH,2015,1,29,18,9999.99
ARH,2015,1,29,19,9999.99
ARH,2015,1,29,20,9999.99
ARH,2015,1,29,21,9999.99
ARH,2015,1,29,22,9999.99
ARH,2015,1,29,23,9999.99
ARH,2015,1,30,0,9999.99
ARH,2015,1,30,1,9999.99
ARH,2015,1,30,2,9999.99
ARH,2015,1,30,3,9999.99
ARH,2015,1,30,4,9999.99
ARH,2015,1,30,5,9999.99
ARH,2015,1,30,6,9999.99
ARH,2015,1,30,7,9999.99
ARH,2015,1,30,8,9999.99
ARH,2015,1,30,9,9999.99
ARH,2015,1,30,10,9999.99
ARH,2015,1,30,11,9999.99
ARH,2015,1,30,12,9999.99
ARH,2015,1,30,13,9999.99
ARH,2015,1,30,14,9999.99
ARH,2015,1,30,15,9999.99
ARH,2015,1,30,16,9999.99
ARH,2015,1,30,17,9999.99
ARH,2015,1,30,18,9999.99
ARH,2015,1,30,19,9999.99
ARH,2015,1,30,20,9999.99
ARH,2015,1,30,21,9999.99
ARH,2015,1,30,22,9999.99
ARH,2015,1,30,23,9999.99
ARH,2015,1,31,0,9999.99
ARH,2015,1,31,1,9999.99
ARH,2015,1,31,2,9999.99
ARH,2015,1,31,3,9999.99
ARH,2015,1,31,4,9999.99
ARH,2015,1,31,5,9999.99
ARH,2015,1,31,6,9999.99
ARH,2015,1,31,7,9999.99
ARH,2015,1,31,8,9999.99
ARH,2015,1,31,9,9999.99
ARH,2015,1,31,10,9999.99
ARH,2015,1,31,11,9999.99
ARH,2015,1,31,12,9999.99
ARH,2015,1,31,13,9999.99
ARH,2015,1,31,14,9999.99
ARH,2015,1,31,15,9999.99
ARH,2015,1,31,16,9999.99
ARH,2015,1,31,17,9999.99
ARH,2015,1,31,18,9999.99
ARH,2015,1,31,19,9999.99
ARH,2015,1,31,20,9999.99
ARH,2015,1,31,21,9999.99
ARH,2015,1,31,22,9999.99
ARH,2015,1,31,23,9999.99
ARH,2016,1,1,0,16.04
ARH,2016,1,1,1,16.1
ARH,2016,1,1,2,15.94
ARH,2016,1,1,3,16.47
ARH,2016,1,1,4,16.39
ARH,2016,1,1,5,16.34
ARH,2016,1,1,6,15.88
ARH,2016,1,1,7,14.8
ARH,2016,1,1,8,14.94
ARH,2016,1,1,9,15.44
ARH,2016,1,1,10,15.28
ARH,2016,1,1,11,14.66
ARH,2016,1,1,12,13.16
ARH,2016,1,1,13,12.36
ARH,2016,1,1,14,11.67
ARH,2016,1,1,15,13.1
ARH,2016,1,1,16,13.48
ARH,2016,1,1,17,12.93
ARH,2016,1,1,18,12.56
ARH,2016,1,1,19,11.77
ARH,2016,1,1,20,11.85
ARH,2016,1,1,21,11.87
ARH,2016,1,1,22,11.64
ARH,2016,1,1,23,11.44
ARH,2016,1,2,0,11.7
ARH,2016,1,2,1,11.73
ARH,2016,1,2,2,11.72
ARH,2016,1,2,3,11.6
ARH,2016,1,2,4,11.34
ARH,2016,1,2,5,11.33
ARH,2016,1,2,6,11.36
ARH,2016,1,2,7,11.4
ARH,2016,1,2,8,11.42
ARH,2016,1,2,9,11.37
ARH,2016,1,2,10,13.06
ARH,2016,1,2,11,12.83
ARH,2016,1,2,12,13.45
ARH,2016,1,2,13,12.69
ARH,2016,1,2,14,13.28
ARH,2016,1,2,15,13.75
ARH,2016,1,2,16,13.78
ARH,2016,1,2,17,14.21
ARH,2016,1,2,18,14.56
ARH,2016,1,2,19,15.04
ARH,2016,1,2,20,14.23
ARH,2016,1,2,21,13.97
ARH,2016,1,2,22,14.78
ARH,2016,1,2,23,15.27
ARH,2016,1,3,0,15.43
ARH,2016,1,3,1,15.54
ARH,2016,1,3,2,15.73
ARH,2016,1,3,3,15.55
ARH,2016,1,3,4,15.43
ARH,2016,1,3,5,15.41
ARH,2016,1,3,6,13.42
ARH,2016,1,3,7,14.42
ARH,2016,1,3,8,15.01
ARH,2016,1,3,9,13.88
ARH,2016,1,3,10,12.72
ARH,2016,1,3,11,15.24
ARH,2016,1,3,12,13.11
ARH,2016,1,3,13,13.9
